time	V(n003)
3.000193775931521e-02	1.280691e-02
4.000000000000000e-02	1.280693e-02
4.000000099999756e-02	1.809794e-02
4.000000299999269e-02	2.867571e-02
4.000000600000976e-02	4.451310e-02
4.000001000000000e-02	6.557586e-02
4.000001039999903e-02	6.403069e-02
4.000001119999708e-02	6.094490e-02
4.000001279999317e-02	5.477444e-02
4.000001599998537e-02	4.235811e-02
4.000002000000000e-02	2.670873e-02
4.000002360001317e-02	2.624093e-02
4.000002720002635e-02	2.574329e-02
4.000003080003952e-02	2.521581e-02
4.000003440005269e-02	2.465850e-02
4.000003800006586e-02	2.407135e-02
4.000004160007904e-02	2.345437e-02
4.000004520009220e-02	2.280754e-02
4.000007080018587e-02	1.932809e-02
4.000009444745666e-02	1.745607e-02
4.000011785663219e-02	1.680617e-02
4.000013935875642e-02	1.665727e-02
4.000016746779601e-02	1.661105e-02
4.000019397445575e-02	1.671114e-02
4.000021610883776e-02	1.689998e-02
4.000024044145082e-02	1.711292e-02
4.000026721186852e-02	1.726005e-02
4.000029888118897e-02	1.732771e-02
4.000033200272427e-02	1.734546e-02
4.000036494652661e-02	1.734786e-02
4.000040018855048e-02	1.734738e-02
4.000045057241809e-02	1.734675e-02
4.000053376896923e-02	1.734641e-02
5.000000000000000e-02	1.734632e-02
5.000000100000000e-02	1.859214e-02
5.000000300000000e-02	2.108446e-02
5.000000600000001e-02	2.482342e-02
5.000001000000000e-02	2.980793e-02
5.000001324663619e-02	2.979141e-02
5.000001649327236e-02	2.976580e-02
5.000001973990854e-02	2.973110e-02
5.000002298654473e-02	2.968732e-02
5.000002623318091e-02	2.963445e-02
5.000002947981708e-02	2.957249e-02
5.000003272645327e-02	2.950145e-02
5.000004398786540e-02	2.925087e-02
5.000005762854116e-02	2.891338e-02
5.000008153011410e-02	2.829547e-02
5.000012933325997e-02	2.711663e-02
5.000022493955170e-02	2.514637e-02
5.000033167845688e-02	2.359246e-02
5.000044182807357e-02	2.264505e-02
5.000055759816980e-02	2.212856e-02
5.000069549904413e-02	2.184486e-02
5.000086720657066e-02	2.170522e-02
5.000109672398467e-02	2.164816e-02
5.000141716871329e-02	2.163179e-02
5.000192481281977e-02	2.162933e-02
6.000000000000000e-02	2.162934e-02
6.000000100000000e-02	2.419589e-02
6.000000300000000e-02	2.932915e-02
6.000000600000000e-02	3.702381e-02
6.000001000000001e-02	4.727123e-02
6.000001120000000e-02	4.576220e-02
6.000001280000000e-02	4.375090e-02
6.000001600000000e-02	3.972482e-02
6.000002000000001e-02	3.468367e-02
6.000002360000001e-02	3.457737e-02
6.000002720000001e-02	3.445535e-02
6.000003080000002e-02	3.431761e-02
6.000003440000003e-02	3.416415e-02
6.000003800000003e-02	3.399497e-02
6.000004160000003e-02	3.381007e-02
6.000004520000004e-02	3.360944e-02
6.000007080000007e-02	3.226339e-02
6.000012200000013e-02	2.988624e-02
6.000017301263740e-02	2.826542e-02
6.000022089879273e-02	2.744053e-02
6.000026582688420e-02	2.698599e-02
6.000030874460586e-02	2.664822e-02
6.000035151804325e-02	2.639218e-02
6.000038562794848e-02	2.625936e-02
6.000042316840640e-02	2.617390e-02
6.000049041633395e-02	2.609765e-02
6.000062491218904e-02	2.604429e-02
6.000088285108484e-02	2.602573e-02
6.000123595458930e-02	2.602489e-02
6.000617940365179e-02	2.602506e-02
7.000000000000001e-02	2.602506e-02
7.000000100000001e-02	2.727098e-02
7.000000300000001e-02	2.976367e-02
7.000000599999999e-02	3.350373e-02
7.000000999999999e-02	3.849034e-02
7.000001324585661e-02	3.847624e-02
7.000001649171325e-02	3.845301e-02
7.000001973756988e-02	3.842064e-02
7.000002298342650e-02	3.837913e-02
7.000002622928313e-02	3.832849e-02
7.000002947513977e-02	3.826871e-02
7.000003272099639e-02	3.819979e-02
7.000004398155231e-02	3.795585e-02
7.000005759940409e-02	3.762570e-02
7.000008122002881e-02	3.702372e-02
7.000012846127825e-02	3.586679e-02
7.000022294377714e-02	3.391900e-02
7.000033025305490e-02	3.234460e-02
