Freq.	V(nc_01)
1.12719745617551e+00	(-1.51174985945689e+01dB,-3.34599627901091e-02°)
1.12979591467280e+00	(-1.51174986014054e+01dB,-3.35370959528201e-02°)
1.13240036323556e+00	(-1.51174986082735e+01dB,-3.36144069257132e-02°)
1.13501081567231e+00	(-1.51174986151733e+01dB,-3.36918961186819e-02°)
1.13762728582343e+00	(-1.51174986221050e+01dB,-3.37695639425655e-02°)
1.14024978756117e+00	(-1.51174986290686e+01dB,-3.38474108091487e-02°)
1.14287833478977e+00	(-1.51174986360644e+01dB,-3.39254371311700e-02°)
1.14551294144553e+00	(-1.51174986430924e+01dB,-3.40036433223118e-02°)
1.14815362149688e+00	(-1.51174986501530e+01dB,-3.40820297972156e-02°)
1.15080038894443e+00	(-1.51174986572461e+01dB,-3.41605969714794e-02°)
1.15345325782109e+00	(-1.51174986643719e+01dB,-3.42393452616540e-02°)
1.15611224219210e+00	(-1.51174986715306e+01dB,-3.43182750852568e-02°)
1.15877735615512e+00	(-1.51174986787224e+01dB,-3.43973868607645e-02°)
1.16144861384034e+00	(-1.51174986859474e+01dB,-3.44766810076181e-02°)
1.16412602941049e+00	(-1.51174986932057e+01dB,-3.45561579462253e-02°)
1.16680961706096e+00	(-1.51174987004975e+01dB,-3.46358180979644e-02°)
1.16949939101987e+00	(-1.51174987078230e+01dB,-3.47156618851845e-02°)
1.17219536554813e+00	(-1.51174987151823e+01dB,-3.47956897312065e-02°)
1.17489755493953e+00	(-1.51174987225755e+01dB,-3.48759020603334e-02°)
1.17760597352080e+00	(-1.51174987300029e+01dB,-3.49562992978339e-02°)
1.18032063565173e+00	(-1.51174987374646e+01dB,-3.50368818699730e-02°)
1.18304155572516e+00	(-1.51174987449607e+01dB,-3.51176502039848e-02°)
1.18576874816716e+00	(-1.51174987524914e+01dB,-3.51986047280960e-02°)
1.18850222743702e+00	(-1.51174987600569e+01dB,-3.52797458715193e-02°)
1.19124200802737e+00	(-1.51174987676573e+01dB,-3.53610740644534e-02°)
1.19398810446427e+00	(-1.51174987752927e+01dB,-3.54425897380907e-02°)
1.19674053130724e+00	(-1.51174987829635e+01dB,-3.55242933246198e-02°)
1.19949930314938e+00	(-1.51174987906696e+01dB,-3.56061852572205e-02°)
1.20226443461741e+00	(-1.51174987984113e+01dB,-3.56882659700790e-02°)
1.20503594037179e+00	(-1.51174988061887e+01dB,-3.57705358983754e-02°)
1.20781383510678e+00	(-1.51174988140020e+01dB,-3.58529954782935e-02°)
1.21059813355048e+00	(-1.51174988218514e+01dB,-3.59356451470263e-02°)
1.21338885046497e+00	(-1.51174988297370e+01dB,-3.60184853427733e-02°)
1.21618600064636e+00	(-1.51174988376591e+01dB,-3.61015165047431e-02°)
1.21898959892486e+00	(-1.51174988456176e+01dB,-3.61847390731582e-02°)
1.22179966016487e+00	(-1.51174988536130e+01dB,-3.62681534892506e-02°)
1.22461619926504e+00	(-1.51174988616452e+01dB,-3.63517601952790e-02°)
1.22743923115840e+00	(-1.51174988697145e+01dB,-3.64355596345137e-02°)
1.23026877081238e+00	(-1.51174988778210e+01dB,-3.65195522512496e-02°)
1.23310483322890e+00	(-1.51174988859650e+01dB,-3.66037384908085e-02°)
1.23594743344451e+00	(-1.51174988941466e+01dB,-3.66881187995314e-02°)
1.23879658653036e+00	(-1.51174989023659e+01dB,-3.67726936247969e-02°)
1.24165230759241e+00	(-1.51174989106231e+01dB,-3.68574634150075e-02°)
1.24451461177138e+00	(-1.51174989189185e+01dB,-3.69424286196059e-02°)
1.24738351424294e+00	(-1.51174989272522e+01dB,-3.70275896890667e-02°)
1.25025903021771e+00	(-1.51174989356243e+01dB,-3.71129470749018e-02°)
1.25314117494141e+00	(-1.51174989440351e+01dB,-3.71985012296682e-02°)
1.25602996369487e+00	(-1.51174989524847e+01dB,-3.72842526069648e-02°)
1.25892541179416e+00	(-1.51174989609733e+01dB,-3.73702016614308e-02°)
1.26182753459066e+00	(-1.51174989695011e+01dB,-3.74563488487653e-02°)
1.26473634747115e+00	(-1.51174989780682e+01dB,-3.75426946257023e-02°)
1.26765186585784e+00	(-1.51174989866749e+01dB,-3.76292394500437e-02°)
1.27057410520854e+00	(-1.51174989953213e+01dB,-3.77159837806388e-02°)
1.27350308101666e+00	(-1.51174990040076e+01dB,-3.78029280773895e-02°)
1.27643880881134e+00	(-1.51174990127340e+01dB,-3.78900728012736e-02°)
1.27938130415752e+00	(-1.51174990215007e+01dB,-3.79774184143135e-02°)
1.28233058265602e+00	(-1.51174990303079e+01dB,-3.80649653796124e-02°)
1.28528665994361e+00	(-1.51174990391557e+01dB,-3.81527141613315e-02°)
1.28824955169313e+00	(-1.51174990480444e+01dB,-3.82406652247023e-02°)
1.29121927361353e+00	(-1.51174990569740e+01dB,-3.83288190360319e-02°)
1.29419584144998e+00	(-1.51174990659449e+01dB,-3.84171760627032e-02°)
1.29717927098395e+00	(-1.51174990749572e+01dB,-3.85057367731721e-02°)
1.30016957803328e+00	(-1.51174990840112e+01dB,-3.85945016369804e-02°)
1.30316677845229e+00	(-1.51174990931068e+01dB,-3.86834711247455e-02°)
1.30617088813183e+00	(-1.51174991022445e+01dB,-3.87726457081735e-02°)
1.30918192299940e+00	(-1.51174991114244e+01dB,-3.88620258600611e-02°)
1.31219989901920e+00	(-1.51174991206466e+01dB,-3.89516120542862e-02°)
1.31522483219223e+00	(-1.51174991299114e+01dB,-3.90414047658276e-02°)
1.31825673855640e+00	(-1.51174991392190e+01dB,-3.91314044707527e-02°)
1.32129563418657e+00	(-1.51174991485695e+01dB,-3.92216116462355e-02°)
1.32434153519466e+00	(-1.51174991579632e+01dB,-3.93120267705328e-02°)
1.32739445772973e+00	(-1.51174991674002e+01dB,-3.94026503230237e-02°)
1.33045441797808e+00	(-1.51174991768808e+01dB,-3.94934827841806e-02°)
1.33352143216332e+00	(-1.51174991864052e+01dB,-3.95845246355847e-02°)
